Executor Type,Workers,Time
thread,1,0.49
thread,2,0.50
thread,3,0.50
thread,4,0.51
thread,5,0.50
thread,6,0.51
thread,7,0.50
thread,8,0.51
thread,9,0.51
thread,10,0.51
thread,11,0.51
thread,12,0.51
thread,13,0.51
thread,14,0.52
thread,15,0.51
thread,16,0.51
thread,17,0.51
thread,18,0.51
thread,19,0.50
thread,20,0.51
thread,21,0.51
thread,22,0.51
thread,23,0.51
thread,24,0.51
process,1,0.50
process,2,0.26
process,3,0.18
process,4,0.13
process,5,0.11
process,6,0.09
process,7,0.08
process,8,0.07
process,9,0.07
process,10,0.06
process,11,0.06
process,12,0.05
process,13,0.07
process,14,0.06
process,15,0.07
process,16,0.06
process,17,0.07
process,18,0.07
process,19,0.07
process,20,0.06
process,21,0.06
process,22,0.07
process,23,0.07
process,24,0.07
